ID,Offset,DST Diff,DST Rule,Name,Timezone
30278,8,1,0,KUCHING,Asia/Kuching
30279,3,1,0,KUWAIT,Asia/Kuwait
30280,8,1,0,MACAO,Asia/Macao
30281,8,1,0,MACAU,Asia/Macau
30282,11,1,0,MAGADAN,Asia/Magadan
30283,8,1,0,MAKASSAR,Asia/Makassar
30284,8,1,0,MANILA,Asia/Manila
30285,4,1,0,MUSCAT,Asia/Muscat
30286,2,1,3,NICOSIA,Asia/Nicosia
30287,7,1,0,NOVOKUZNETSK,Asia/Novokuznetsk
30288,7,1,0,NOVOSIBIRSK,Asia/Novosibirsk
30289,6,1,0,OMSK,Asia/Omsk
30290,5,1,0,ORAL,Asia/Oral
30291,7,1,0,PHNOM PENH,Asia/Phnom_Penh
30292,7,1,0,PONTIANAK,Asia/Pontianak
30293,9,1,0,PYONGYANG,Asia/Pyongyang
30294,3,1,0,QATAR,Asia/Qatar
30295,5,1,0,QYZYLORDA,Asia/Qyzylorda
30296,6.5,1,0,RANGOON,Asia/Rangoon
30297,3,1,0,RIYADH,Asia/Riyadh
30298,7,1,0,SAIGON,Asia/Saigon
30299,11,1,0,SAKHALIN,Asia/Sakhalin
30300,5,1,0,SAMARKAND,Asia/Samarkand
30301,9,1,0,SEOUL,Asia/Seoul
30302,8,1,0,SHANGHAI,Asia/Shanghai
30303,8,1,0,SINGAPORE,Asia/Singapore
30304,8,1,0,TAIPEI,Asia/Taipei
30305,5,1,0,TASHKENT,Asia/Tashkent
30306,4,1,0,TBILISI,Asia/Tbilisi
30307,3.5,1,0,TEHRAN,Asia/Tehran
30308,2,1,42,TEL AVIV,Asia/Tel_Aviv
30309,6,1,0,THIMBU,Asia/Thimbu
30310,6,1,0,THIMPHU,Asia/Thimphu
30311,9,1,0,TOKYO,Asia/Tokyo
30312,8,1,0,UJUNG PANDANG,Asia/Ujung_Pandang
30313,8,1,0,ULAANBAATAR,Asia/Ulaanbaatar
30314,8,1,0,ULAN BATOR,Asia/Ulan_Bator
30315,8,1,0,URUMQI,Asia/Urumqi
30316,10,1,0,UST-NERA,Asia/Ust-Nera
30317,7,1,0,VIENTIANE,Asia/Vientiane
30318,10,1,0,VLADIVOSTOK,Asia/Vladivostok
30319,9,1,0,YAKUTSK,Asia/Yakutsk
30320,5,1,0,YEKATERINBURG,Asia/Yekaterinburg
30321,4,1,0,YEREVAN,Asia/Yerevan
30322,-1,1,2,AZORES,Atlantic/Azores
30323,-4,1,1,BERMUDA,Atlantic/Bermuda
30324,0,1,14,CANARY,Atlantic/Canary
30325,-1,1,0,CAPE VERDE,Atlantic/Cape_Verde
30326,0,1,2,FAEROE,Atlantic/Faeroe
30327,0,1,2,FAROE,Atlantic/Faroe
30328,1,1,2,JAN MAYEN,Atlantic/Jan_Mayen
30329,0,1,2,MADEIRA,Atlantic/Madeira
30330,0,1,0,REYKJAVIK,Atlantic/Reykjavik
30331,-2,1,0,SOUTH GEORGIA,Atlantic/South_Georgia
30332,0,1,0,ST HELENA,Atlantic/St_Helena
30333,-3,1,0,STANLEY,Atlantic/Stanley
30334,10,1,4,ACT,Australia/ACT
30335,9.5,1,4,ADELAIDE,Australia/Adelaide
30336,10,1,0,BRISBANE,Australia/Brisbane
30337,9.5,1,4,BROKEN HILL,Australia/Broken_Hill
30338,10,1,4,CANBERRA,Australia/Canberra
30339,10,1,4,CURRIE,Australia/Currie
30340,9.5,1,0,DARWIN,Australia/Darwin
30341,8.75,1,0,EUCLA,Australia/Eucla
30342,10,1,4,HOBART,Australia/Hobart
30343,10.5,0.5,18,LHI,Australia/LHI
30344,10,1,0,LINDEMAN,Australia/Lindeman
30345,10.5,0.5,18,LORD HOWE,Australia/Lord_Howe
30346,10,1,4,MELBOURNE,Australia/Melbourne
30347,10,1,4,NSW,Australia/NSW
30348,9.5,1,0,NORTH,Australia/North
30349,8,1,0,PERTH,Australia/Perth
30350,10,1,0,QUEENSLAND,Australia/Queensland
30351,9.5,1,4,SOUTH,Australia/South
30352,10,1,4,SYDNEY,Australia/Sydney
30353,10,1,4,TASMANIA,Australia/Tasmania
30354,10,1,4,VICTORIA,Australia/Victoria
30355,8,1,0,WEST,Australia/West
30356,9.5,1,4,YANCOWINNA,Australia/Yancowinna
30357,-5,1,0,ACRE,Brazil/Acre
30358,-2,1,0,DENORONHA,Brazil/DeNoronha
30359,-3,1,0,EAST,Brazil/East
30360,-4,1,0,WEST,Brazil/West
30361,1,1,2,CET,CET
30362,-6,1,1,CST6CDT,CST6CDT
30363,-4,1,1,ATLANTIC,Canada/Atlantic
30364,-6,1,1,CENTRAL,Canada/Central
30365,-6,1,0,EAST-SASKATCHEWAN,Canada/East-Saskatchewan
30366,-5,1,1,EASTERN,Canada/Eastern
30367,-7,1,1,MOUNTAIN,Canada/Mountain
30368,-3.5,1,1,NEWFOUNDLAND,Canada/Newfoundland
30369,-8,1,1,PACIFIC,Canada/Pacific
30370,-6,1,0,SASKATCHEWAN,Canada/Saskatchewan
30371,-8,1,0,YUKON,Canada/Yukon
30372,-4,1,27,CONTINENTAL,Chile/Continental
30373,-6,1,28,EASTERISLAND,Chile/EasterIsland
30374,-5,1,21,CUBA,Cuba
30375,2,1,0,EET ,EET
30376,-5,1,0,EST ,EST
30377,-5,1,1,EST5EDT,EST5EDT
30378,2,1,22,EGYPT,Egypt
30379,0,1,2,EIRE,Eire
30380,0,0,0,GMT,Etc/GMT
30381,0,1,0,GMT+0,Etc/GMT+0
30382,-1,1,0,GMT+1,Etc/GMT+1
30383,-10,1,0,GMT+10,Etc/GMT+10
30384,-11,1,0,GMT+11,Etc/GMT+11
30385,-12,1,0,GMT+12,Etc/GMT+12
30386,-2,1,0,GMT+2,Etc/GMT+2
30387,-3,1,0,GMT+3,Etc/GMT+3
30388,-4,1,0,GMT+4,Etc/GMT+4
30389,-5,1,0,GMT+5,Etc/GMT+5
30390,-6,1,0,GMT+6,Etc/GMT+6
30391,-7,1,0,GMT+7,Etc/GMT+7
30392,-8,1,0,GMT+8,Etc/GMT+8
30393,-9,1,0,GMT+9,Etc/GMT+9
30394,0,1,0,GMT-0,Etc/GMT-0
30395,1,1,0,GMT-1,Etc/GMT-1
30396,10,1,0,GMT-10,Etc/GMT-10
30397,11,1,0,GMT-11,Etc/GMT-11
30398,12,1,0,GMT-12,Etc/GMT-12
30399,13,1,0,GMT-13,Etc/GMT-13
30400,14,1,0,GMT-14,Etc/GMT-14
30401,2,1,0,GMT-2,Etc/GMT-2
30402,3,1,0,GMT-3,Etc/GMT-3
30403,4,1,0,GMT-4,Etc/GMT-4
30404,5,1,0,GMT-5,Etc/GMT-5
30405,6,1,0,GMT-6,Etc/GMT-6
30406,7,1,0,GMT-7,Etc/GMT-7
30407,8,1,0,GMT-8,Etc/GMT-8
30408,9,1,0,GMT-9,Etc/GMT-9
30409,0,1,0,GMT0,Etc/GMT0
30410,0,0,0,GREENWICH,Etc/Greenwich
30411,0,0,0,UCT,Etc/UCT
30412,0,0,0,UTC,Etc/UTC
30413,0,0,0,UNIVERSAL,Etc/Universal
30414,0,0,0,ZULU,Etc/Zulu
30415,1,1,2,AMSTERDAM,Europe/Amsterdam
30416,1,1,2,ANDORRA,Europe/Andorra
30417,2,1,2,ATHENS,Europe/Athens
30418,0,1,2,BELFAST,Europe/Belfast
30419,1,1,2,BELGRADE,Europe/Belgrade
30420,1,1,2,BERLIN,Europe/Berlin
30421,1,1,2,BRATISLAVA,Europe/Bratislava
30422,1,1,2,BRUSSELS,Europe/Brussels
30423,2,1,2,BUCHAREST,Europe/Bucharest
30424,1,1,2,BUDAPEST,Europe/Budapest
30425,1,1,2,BUSINGEN,Europe/Busingen
30426,2,1,2,CHISINAU,Europe/Chisinau
30427,1,1,2,COPENHAGEN,Europe/Copenhagen
30428,0,1,2,DUBLIN,Europe/Dublin
30429,1,1,2,GIBRALTAR,Europe/Gibraltar
30430,0,1,2,GUERNSEY,Europe/Guernsey
30431,2,1,2,HELSINKI,Europe/Helsinki
30432,0,1,2,ISLE OF MAN,Europe/Isle_of_Man
30433,3,1,0,ISTANBUL,Europe/Istanbul
30434,0,1,2,JERSEY,Europe/Jersey
30435,2,1,0,KALININGRAD,Europe/Kaliningrad
30436,2,1,2,KYIV,Europe/Kiev
30437,0,1,2,LISBON,Europe/Lisbon
30438,1,1,2,LJUBLJANA,Europe/Ljubljana
30439,0,1,2,LONDON,Europe/London
30440,1,1,2,LUXEMBOURG,Europe/Luxembourg
30441,1,1,2,MADRID,Europe/Madrid
30442,1,1,2,MALTA,Europe/Malta
30443,2,1,2,MARIEHAMN,Europe/Mariehamn
30444,3,1,0,MINSK,Europe/Minsk
30445,1,1,2,MONACO,Europe/Monaco
30446,3,1,0,MOSCOW,Europe/Moscow
30447,2,1,3,NICOSIA,Europe/Nicosia
30448,1,1,2,OSLO,Europe/Oslo
30449,1,1,2,PARIS,Europe/Paris
30450,1,1,2,PODGORICA,Europe/Podgorica
30451,1,1,2,PRAGUE,Europe/Prague
30452,2,1,2,RIGA,Europe/Riga
30453,1,1,2,ROME,Europe/Rome
30454,4,1,0,SAMARA,Europe/Samara
30455,1,1,2,SAN MARINO,Europe/San_Marino
30456,1,1,2,SARAJEVO,Europe/Sarajevo
30457,3,1,0,SIMFEROPOL,Europe/Simferopol
30458,1,1,2,SKOPJE,Europe/Skopje
30459,2,1,2,SOFIA,Europe/Sofia
30460,1,1,2,STOCKHOLM,Europe/Stockholm
30461,2,1,2,TALLINN,Europe/Tallinn
30462,1,1,2,TIRANE,Europe/Tirane
30463,2,1,2,TIRASPOL,Europe/Tiraspol
30464,2,1,2,UZHGOROD,Europe/Uzhgorod
30465,1,1,2,VADUZ,Europe/Vaduz
30466,1,1,2,VATICAN,Europe/Vatican
30467,1,1,2,VIENNA,Europe/Vienna
30468,2,1,2,VILNIUS,Europe/Vilnius
30469,3,1,0,VOLGOGRAD,Europe/Volgograd
30470,1,1,2,WARSAW,Europe/Warsaw
30471,1,1,2,ZAGREB,Europe/Zagreb
30472,2,1,2,ZAPOROZHYE,Europe/Zaporozhye
30473,1,1,2,ZURICH,Europe/Zurich
30474,0,1,2,GB,GB
30475,0,1,2,GB-EIRE,GB-Eire
30476,0,0,0,GMT,GMT
30477,0,1,0,GMT+0,GMT+0
30478,0,1,0,GMT-0,GMT-0
30479,0,1,0,GMT0,GMT0
30480,0,0,0,GREENWICH,Greenwich
30481,-10,1,0,HST,HST
30482,8,1,0,HONGKONG,Hongkong
30483,0,1,0,ICELAND,Iceland
30484,3,1,0,ANTANANARIVO,Indian/Antananarivo
30485,6,1,0,CHAGOS,Indian/Chagos
30486,7,1,0,CHRISTMAS,Indian/Christmas
30487,6.5,1,0,COCOS,Indian/Cocos
30488,3,1,0,COMORO,Indian/Comoro
30489,5,1,0,KERGUELEN,Indian/Kerguelen
30490,4,1,0,MAHE,Indian/Mahe
30491,5,1,0,MALDIVES,Indian/Maldives
30492,4,1,0,MAURITIUS,Indian/Mauritius
30493,3,1,0,MAYOTTE,Indian/Mayotte
30494,4,1,0,REUNION,Indian/Reunion
30495,3.5,1,0,IRAN,Iran
30496,2,1,42,ISRAEL,Israel
30497,-5,1,0,JAMAICA,Jamaica
30498,9,1,0,JAPAN,Japan
30499,12,1,0,KWAJALEIN,Kwajalein
30500,2,1,0,LIBYA,Libya
30501,1,1,2,MET,MET
30502,-7,1,1,MST,MST
30503,-7,1,1,MST7MDT,MST7MDT
30504,-8,1,1,BAJANORTE,Mexico/BajaNorte
30505,-7,1,0,BAJASUR,Mexico/BajaSur
30506,-6,1,0,GENERAL,Mexico/General
30507,12,1,5,NZ,NZ
30508,12.75,1,23,NZ-CHAT,NZ-CHAT
30509,-7,1,1,NAVAJO,Navajo
30510,8,1,0,PRC,PRC
30511,-8,1,1,PST8PDT,PST8PDT
30512,13,1,0,APIA,Pacific/Apia
30513,12,1,5,AUCKLAND,Pacific/Auckland
30514,12.75,1,23,CHATHAM,Pacific/Chatham
30515,10,1,0,CHUUK,Pacific/Chuuk
30516,-6,1,28,EASTER,Pacific/Easter
30517,11,1,0,EFATE,Pacific/Efate
30518,13,1,0,ENDERBURY,Pacific/Enderbury
30519,13,1,0,FAKAOFO,Pacific/Fakaofo
30520,12,1,19,FIJI,Pacific/Fiji
30521,12,1,0,FUNAFUTI,Pacific/Funafuti
30522,-6,1,0,GALAPAGOS,Pacific/Galapagos
30523,-9,1,0,GAMBIER,Pacific/Gambier
30524,11,1,0,GUADALCANAL,Pacific/Guadalcanal
30525,10,1,0,GUAM,Pacific/Guam
30526,-10,1,0,HONOLULU,Pacific/Honolulu
30527,-10,1,0,JOHNSTON,Pacific/Johnston
30528,14,1,0,KIRITIMATI,Pacific/Kiritimati
30529,11,1,0,KOSRAE,Pacific/Kosrae
30530,12,1,0,KWAJALEIN,Pacific/Kwajalein
30531,12,1,0,MAJURO,Pacific/Majuro
30532,-9.5,1,0,MARQUESAS,Pacific/Marquesas
30533,-11,1,0,MIDWAY,Pacific/Midway
30534,12,1,0,NAURU,Pacific/Nauru
30535,-11,1,0,NIUE,Pacific/Niue
30536,11,1,4,NORFOLK,Pacific/Norfolk
30537,11,1,0,NOUMEA,Pacific/Noumea
30538,-11,1,0,PAGO PAGO,Pacific/Pago_Pago
30539,9,1,0,PALAU,Pacific/Palau
30540,-8,1,0,PITCAIRN,Pacific/Pitcairn
30541,11,1,0,POHNPEI,Pacific/Pohnpei
30542,11,1,0,PONAPE,Pacific/Ponape
30543,10,1,0,PORT MORESBY,Pacific/Port_Moresby
30544,-10,1,0,RAROTONGA,Pacific/Rarotonga
30545,10,1,0,SAIPAN,Pacific/Saipan
30546,13,1,0,SAMOA,Pacific/Samoa
30547,-10,1,0,TAHITI,Pacific/Tahiti
30548,12,1,0,TARAWA,Pacific/Tarawa
30549,13,1,0,TONGATAPU,Pacific/Tongatapu
30550,10,1,0,TRUK,Pacific/Truk
30551,12,1,0,WAKE,Pacific/Wake
30552,12,1,0,WALLIS,Pacific/Wallis
30553,10,1,0,YAP,Pacific/Yap
30554,1,1,2,POLAND,Poland
30555,0,1,2,PORTUGAL,Portugal
30556,8,1,0,ROC,ROC
30557,9,1,0,ROK,ROK
30558,8,1,0,SINGAPORE,Singapore
30559,3,1,0,TURKEY,Turkey
30560,0,0,0,UCT,UCT
30561,-9,1,1,ALASKA,US/Alaska
30562,-10,1,1,ALEUTIAN,US/Aleutian
30563,-7,1,0,ARIZONA,US/Arizona
30564,-6,1,1,CENTRAL,US/Central
30565,-5,1,1,EAST-INDIANA,US/East-Indiana
30566,-5,1,1,EASTERN,US/Eastern
30567,-10,1,0,HAWAII,US/Hawaii
30568,-6,1,1,INDIANA-STARKE,US/Indiana-Starke
30569,-5,1,1,MICHIGAN,US/Michigan
30570,-7,1,1,MOUNTAIN,US/Mountain
30571,-8,1,1,PACIFIC,US/Pacific
30572,-11,1,0,SAMOA,US/Samoa
30573,0,0,0,UTC,UTC
30574,0,0,0,UNIVERSAL,Universal
30575,3,1,0,W-SU,W-SU
30576,0,1,2,WET,WET
30577,0,0,0,ZULU,Zulu
30578,9,1,0,CHITA,Asia/Chita
30579,11,1,0,SREDNEKOLYMSK,Asia/Srednekolymsk
30580,11,1,0,BOUGAINVILLE,Pacific/Bougainville
30581,7,1,0,HANOI,Asia/Hanoi
30582,-7,1,0,FORT NELSON,America/Fort_Nelson
30583,7,1,0,BARNAUL,Asia/Barnaul
30584,7,1,0,TOMSK,Asia/Tomsk
30585,6.5,1,0,YANGON,Asia/Yangon
30586,4,1,0,ASTRAKHAN,Europe/Astrakhan
30587,3,1,0,KIROV,Europe/Kirov
30588,4,1,0,ULYANOVSK,Europe/Ulyanovsk
30589,-3,1,0,PUNTA ARENAS,America/Punta_Arenas
30590,5,1,0,ATYRAU,Asia/Atyrau
30591,2,1,3,FAMAGUSTA,Asia/Famagusta
30592,4,1,0,SARATOV,Europe/Saratov
30593,-2,1,31,NUUK,America/Nuuk
30594,5,1,0,QOSTANAY,Asia/Qostanay
30595,13,1,0,KANTON,Pacific/Kanton
30596,2,1,2,KYIV,Europe/Kyiv